       Q,      F(Q)_RMC,  F(Q)_Expt
      5.4950310 ,       0.2601194 ,       0.3443613
      5.5050310 ,       0.2605002 ,       0.3375985
      5.5150310 ,       0.2542695 ,       0.3234964
      5.5250320 ,       0.2386805 ,       0.2994702
      5.5350320 ,       0.2115790 ,       0.2635893
      5.5450320 ,       0.1715155 ,       0.2146749
      5.5550320 ,       0.1178306 ,       0.1523737
      5.5650320 ,       0.0506876 ,       0.0771735
      5.5750330 ,      -0.0289481 ,      -0.0096378
      5.5850330 ,      -0.1193335 ,      -0.1060141
      5.5950330 ,      -0.2180952 ,      -0.2093218
      5.6050330 ,      -0.3223309 ,      -0.3164556
      5.6150340 ,      -0.4287867 ,      -0.4240307
      5.6250340 ,      -0.5339878 ,      -0.5285233
      5.6350340 ,      -0.6344821 ,      -0.6265197
      5.6450340 ,      -0.7269709 ,      -0.7148457
      5.6550350 ,      -0.8084832 ,      -0.7907345
      5.6650350 ,      -0.8764761 ,      -0.8519184
      5.6750350 ,      -0.9289832 ,      -0.8967587
      5.6850350 ,      -0.9646424 ,      -0.9242562
      5.6950350 ,      -0.9827271 ,      -0.9340612
      5.7050360 ,      -0.9831290 ,      -0.9264339
      5.7150360 ,      -0.9663069 ,      -0.9021744
      5.7250360 ,      -0.9332035 ,      -0.8625165
      5.7350360 ,      -0.8851372 ,      -0.8090060
      5.7450370 ,      -0.8236749 ,      -0.7433615
      5.7550370 ,      -0.7505327 ,      -0.6673703
      5.7650370 ,      -0.6674183 ,      -0.5827265
      5.7750370 ,      -0.5759486 ,      -0.4909559
